City,Year,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Bunnell,2018,2939,43,0,1,3,39,95,25,63,7,0
Cape Coral,2018,187869,267,3,17,51,196,2701,413,2110,178,2
Casselberry,2018,28744,152,3,18,31,100,946,120,770,56,3
Center Hill,2018,1435,3,0,0,0,3,9,1,5,3,0
Chattahoochee,2018,3039,15,0,3,2,10,72,13,34,25,0
Chiefland,2018,2172,4,0,0,0,4,188,92,93,3,0
Chipley,2018,3516,10,0,1,0,9,78,8,70,0,0
Clearwater,2018,116504,510,6,95,105,304,3087,345,2564,178,5
Clermont,2018,36233,58,1,9,10,38,723,93,605,25,2
Clewiston,2018,7807,37,1,2,10,24,193,64,126,3,1
Cocoa,2018,18739,141,6,5,53,77,1021,157,804,60,7
Cocoa Beach,2018,11807,41,0,4,8,29,407,25,354,28,0
Coconut Creek,2018,62237,89,1,13,16,59,1027,99,826,102,1
Cooper City,2018,36896,36,0,10,9,17,433,50,353,30,0
Coral Gables,2018,51716,68,1,14,20,33,1225,128,1035,62,2
Coral Springs,2018,134640,209,1,35,55,118,2027,195,1684,148,1
Crescent City,2018,1540,7,0,2,1,4,123,58,54,11,0
Crestview,2018,24293,86,1,14,21,50,702,137,516,49,1
Cross City,2018,1714,3,0,0,0,3,26,6,19,1,0
Cutler Bay,2018,45807,97,1,6,33,57,1278,84,1113,81,1
Dade City,2018,7238,37,0,6,5,26,225,35,186,4,1
Dania Beach,2018,32376,209,2,15,62,130,1210,163,889,158,1
Davenport,2018,4849,6,0,0,0,6,72,26,42,4,0
Davie,2018,107120,270,0,24,63,183,2763,238,2233,292,2
Daytona Beach,2018,69030,764,8,17,91,648,3358,384,2750,224,7
Daytona Beach Shores,2018,4549,9,0,3,3,3,157,18,128,11,0
Deerfield Beach,2018,81371,329,3,21,110,195,2490,422,1737,331,7
DeFuniak Springs,2018,6646,17,0,2,0,15,94,11,79,4,0
DeLand,2018,33384,182,2,2,43,135,1256,185,993,78,3
